ticker,event_ticker,series_ticker,title,strike_value,target_date,city,last_price,volume,status,result,implied_prob,actual_outcome
HIGHCHI-01FEB26-T18,HIGHCHI-01FEB26,KXHIGHCHI,High temp in CHI on 2026-02-01 >= 18°F,18,2026-02-01,CHI,94,4910,settled,yes,0.94,1
HIGHCHI-01FEB26-T24,HIGHCHI-01FEB26,KXHIGHCHI,High temp in CHI on 2026-02-01 >= 24°F,24,2026-02-01,CHI,49,3922,settled,yes,0.49,1
HIGHCHI-01FEB26-T28,HIGHCHI-01FEB26,KXHIGHCHI,High temp in CHI on 2026-02-01 >= 28°F,28,2026-02-01,CHI,95,3926,settled,yes,0.95,1
HIGHCHI-01FEB26-T34,HIGHCHI-01FEB26,KXHIGHCHI,High temp in CHI on 2026-02-01 >= 34°F,34,2026-02-01,CHI,99,4691,settled,yes,0.99,1
HIGHCHI-01FEB26-T38,HIGHCHI-01FEB26,KXHIGHCHI,High temp in CHI on 2026-02-01 >= 38°F,38,2026-02-01,CHI,22,2812,settled,no,0.22,0
HIGHCHI-01JAN26-T15,HIGHCHI-01JAN26,KXHIGHCHI,High temp in CHI on 2026-01-01 >= 15°F,15,2026-01-01,CHI,64,3581,settled,yes,0.64,1
HIGHCHI-01JAN26-T20,HIGHCHI-01JAN26,KXHIGHCHI,High temp in CHI on 2026-01-01 >= 20°F,20,2026-01-01,CHI,75,517,settled,yes,0.75,1
HIGHCHI-01JAN26-T25,HIGHCHI-01JAN26,KXHIGHCHI,High temp in CHI on 2026-01-01 >= 25°F,25,2026-01-01,CHI,42,2297,settled,yes,0.42,1
HIGHCHI-01JAN26-T30,HIGHCHI-01JAN26,KXHIGHCHI,High temp in CHI on 2026-01-01 >= 30°F,30,2026-01-01,CHI,67,4609,settled,yes,0.67,1
HIGHCHI-01JAN26-T35,HIGHCHI-01JAN26,KXHIGHCHI,High temp in CHI on 2026-01-01 >= 35°F,35,2026-01-01,CHI,56,4969,settled,no,0.56,0
HIGHCHI-01MAR26-T30,HIGHCHI-01MAR26,KXHIGHCHI,High temp in CHI on 2026-03-01 >= 30°F,30,2026-03-01,CHI,75,2798,settled,yes,0.75,1
HIGHCHI-01MAR26-T34,HIGHCHI-01MAR26,KXHIGHCHI,High temp in CHI on 2026-03-01 >= 34°F,34,2026-03-01,CHI,28,767,settled,no,0.28,0
HIGHCHI-01MAR26-T40,HIGHCHI-01MAR26,KXHIGHCHI,High temp in CHI on 2026-03-01 >= 40°F,40,2026-03-01,CHI,6,2515,settled,no,0.06,0
HIGHCHI-01MAR26-T44,HIGHCHI-01MAR26,KXHIGHCHI,High temp in CHI on 2026-03-01 >= 44°F,44,2026-03-01,CHI,16,2338,settled,no,0.16,0
HIGHCHI-01MAR26-T50,HIGHCHI-01MAR26,KXHIGHCHI,High temp in CHI on 2026-03-01 >= 50°F,50,2026-03-01,CHI,33,4779,settled,no,0.33,0
HIGHCHI-02FEB26-T18,HIGHCHI-02FEB26,KXHIGHCHI,High temp in CHI on 2026-02-02 >= 18°F,18,2026-02-02,CHI,92,3776,settled,yes,0.92,1
HIGHCHI-02FEB26-T24,HIGHCHI-02FEB26,KXHIGHCHI,High temp in CHI on 2026-02-02 >= 24°F,24,2026-02-02,CHI,34,382,settled,no,0.34,0
HIGHCHI-02FEB26-T28,HIGHCHI-02FEB26,KXHIGHCHI,High temp in CHI on 2026-02-02 >= 28°F,28,2026-02-02,CHI,43,2165,settled,no,0.43,0
